heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2003-44,Red-Flowered Malayan Spindle Tree,Bhesa robusta (Roxb.) Ding Hou,,https://heritagetrees.nparks.gov.sg/ht-2003-44/,103.83514000035797,1.2475400000379668
HT 2003-62,Johor Fig,Ficus kerkhovenii Valeton,,https://heritagetrees.nparks.gov.sg/ht-2003-62/,103.82804129959679,1.2475218302278561
HT 2003-67,Johor Fig,Ficus kerkhovenii Valeton,,https://heritagetrees.nparks.gov.sg/ht-2003-67/,103.82701089958819,1.247516480428082
HT 2003-81,Seashore Mangosteen,Garcinia celebica L.,,https://heritagetrees.nparks.gov.sg/ht-2003-81/,103.82504000019247,1.2522800003769978
HT 2003-80,White Fig,Ficus vasculosa Wall. ex Miq.,,https://heritagetrees.nparks.gov.sg/ht-2003-80/,103.83597000004035,1.2483300002908932
HT 2003-94,Nyatoh Puteh,Palaquium obovatum var. obovatum (Griff.) Engl.,,https://heritagetrees.nparks.gov.sg/ht-2003-94/,103.81725590005857,1.255088910187319
HT 2003-95,Petai,Parkia speciosa Hassk.,,https://heritagetrees.nparks.gov.sg/ht-2003-95/,103.82248590024135,1.2521853102948333
HT 2003-100,Angsana,Pterocarpus indicus Willd.,,https://heritagetrees.nparks.gov.sg/ht-2003-100/,103.82466089993362,1.2504641198650523
HT 2003-93,Tanjong Tree,Mimusops elengi L.,,https://heritagetrees.nparks.gov.sg/ht-2003-93/,103.81797670001603,1.254371499807816
HT 2003-120,Broad-leafed Mahogany,Swietenia macrophylla King,,https://heritagetrees.nparks.gov.sg/ht-2003-120/,103.81760360038794,1.2544854303961912
HT 2003-121,Broad-leafed Mahogany,Swietenia macrophylla King,,https://heritagetrees.nparks.gov.sg/ht-2003-121/,103.81775719958655,1.254919340264453
HT 2003-129,Broad-leafed Mahogany,Swietenia macrophylla King,,https://heritagetrees.nparks.gov.sg/ht-2003-129/,103.81779519967661,1.2548538300936287
HT 2003-98,Angsana,Pterocarpus indicus Willd.,,https://heritagetrees.nparks.gov.sg/ht-2003-98/,103.8106467997373,1.257793049830093
HT 2003-126,Leban,Vitex pinnata,,https://heritagetrees.nparks.gov.sg/ht-2003-126/,103.81790619978959,1.2543430697694842
HT 2013-206,,Ficus stricta (Miq.) Miq.,"Pulau Ubin, roadside, right side of Jalan Noordin toward NPCC campsite, along fence",https://heritagetrees.nparks.gov.sg/ht-2013-206/,103.96690000017233,1.4165200002438063
HT 2003-87,Binjai,Mangifera caesia Jack,,https://heritagetrees.nparks.gov.sg/ht-2003-87/,103.84182399923675,1.3031076803399602
HT 2001-25,Jelawai Jaha,Terminalia subspathulata King,"Singapore Botanic Gardens, at Lower Ring Road and Liane Road junction",https://heritagetrees.nparks.gov.sg/ht-2001-25/,103.81624739993718,1.3111186401203883
HT 2015-245,Nemesu,Rubroshorea pauciflora (King) P.S.Ashton & J.Heck.,"Singapore Botanic Gardens, Rainforest",https://heritagetrees.nparks.gov.sg/ht-2015-245/,103.81689390008106,1.3110444097010443
HT 2019-307,Hazel Sterculia,Sterculia foetida L.,"Singapore Botanic Gardens, National Orchid Garden Nursery",https://heritagetrees.nparks.gov.sg/ht-2019-307/,103.8136430002101,1.3131524004359567
HT 2005-141,Petai Kerayong,Parkia timoriana (DC.) Merr.,,https://heritagetrees.nparks.gov.sg/ht-2005-141/,103.8153741274002,1.273088849119342
HT 2015-259,Pukul Lima,Samanea saman (Jacq.) Merr.,Connaught Drive,https://heritagetrees.nparks.gov.sg/ht-2015-259/,103.8531549781121,1.2895958530587948
