OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,SHAPE.AREA,SHAPE.LEN,area_sq_km,heritage_tree_count,heritage_trees_per_sq_km,hdb_building_count,heritage_trees_per_100_hdb_buildings,tree_proxy_warning
853,7,SEMBAWANG HILLS,AMSZ07,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,AD564EC714FB3D29,20191223152313,894516.017486315,4326.10815208554,0.9005,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
854,5,JELEBU,BPSZ05,N,BUKIT PANJANG,BP,WEST REGION,WR,61A034F12715D43D,20191223152313,911208.28504578,3992.42603071188,0.9173,1,1.09,90,1.111,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
855,2,KEAT HONG,CKSZ02,N,CHOA CHU KANG,CK,WEST REGION,WR,8ADEB58B9C197CD0,20191223152313,1143813.67457554,4680.78329118573,1.1515,0,0.0,113,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
833,1,BENDEMEER,KLSZ01,N,KALLANG,KL,CENTRAL REGION,CR,63861469045FB056,20191223152313,1376830.045265,5603.00046697725,1.3861,1,0.721,120,0.833,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
834,1,BALESTIER,NVSZ01,N,NOVENA,NV,CENTRAL REGION,CR,CEEB7DAC14907701,20191223152313,1926622.0021492,6804.341197145,1.9396,2,1.031,113,1.77,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
835,2,TUAS PROMENADE,TSSZ02,N,TUAS,TS,WEST REGION,WR,E93D92C3F5818817,20191223152313,4137157.96696357,15051.5637623679,4.165,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
836,6,SERANGOON CENTRAL,SGSZ06,N,SERANGOON,SG,NORTH-EAST REGION,NER,3E0A343DED145DD2,20191223152313,1061889.35276278,4784.62316928481,1.069,0,0.0,80,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
837,3,BISHAN EAST,BSSZ03,N,BISHAN,BS,CENTRAL REGION,CR,54980EC3DD176721,20191223152313,1794461.26207765,5680.71940216575,1.8066,1,0.554,135,0.741,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
838,3,TAMPINES WEST,TMSZ03,N,TAMPINES,TM,EAST REGION,ER,B5D10B1D52220BD4,20191223152313,3475252.77982926,8060.31355094969,3.4987,0,0.0,349,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
839,3,BRICKWORKS,BKSZ03,N,BUKIT BATOK,BK,WEST REGION,WR,2E8F28049D9CF38D,20191223152313,1231656.74996784,4404.22819527955,1.24,0,0.0,102,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
792,3,SERANGOON NORTH,SGSZ03,N,SERANGOON,SG,NORTH-EAST REGION,NER,C685042EC58E5C55,20191223152313,684704.30049787,3610.73240826677,0.6893,0,0.0,63,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
793,4,GUILIN,BKSZ04,N,BUKIT BATOK,BK,WEST REGION,WR,1EC9354628DA67BE,20191223152313,1085080.08316945,5564.33323057742,1.0924,0,0.0,31,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
794,1,WENYA,JWSZ01,N,JURONG WEST,JW,WEST REGION,WR,E7A0250440D393E2,20191223152313,1974943.24610219,5864.59281749788,1.9882,0,0.0,30,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
795,7,NATURE RESERVE,BPSZ07,N,BUKIT PANJANG,BP,WEST REGION,WR,5E964070D9B0D244,20191223152313,4141322.43089544,9051.9091191782,4.1692,3,0.72,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
796,2,TAMPINES EAST,TMSZ02,N,TAMPINES,TM,EAST REGION,ER,BF1935FA1D1D26CE,20191223152313,4343753.03925992,10171.7416658296,4.373,0,0.0,498,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
797,7,LORONG AH SOO,HGSZ07,N,HOUGANG,HG,NORTH-EAST REGION,NER,6EDE1DB873D24BDD,20191223152313,1515533.89128447,5438.21102189837,1.5257,1,0.655,101,0.99,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
798,8,FLORA DRIVE,PRSZ08,N,PASIR RIS,PR,EAST REGION,ER,FA9C76B49B6D0C95,20191223152313,944998.448860425,3956.61577683772,0.9514,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
799,5,HILLVIEW,BKSZ05,N,BUKIT BATOK,BK,WEST REGION,WR,ECA94E65B1D52DF7,20191223152313,1993633.61712158,6694.00619672868,2.0071,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
800,1,TOH TUCK,CLSZ01,N,CLEMENTI,CL,WEST REGION,WR,6F40C02EBE541755,20191223152313,2077968.8305417,6119.75007023993,2.092,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
801,5,MOUNT PLEASANT,NVSZ05,N,NOVENA,NV,CENTRAL REGION,CR,65D7CD4FAD68512B,20191223152313,3144927.67328543,7251.16931021493,3.1661,1,0.316,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
802,5,HILLCREST,BTSZ05,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,1DC35394CBDDDADD,20191223152313,2636483.25870882,7428.70026068375,2.6543,1,0.377,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
803,12,JOO SENG,TPSZ12,N,TOA PAYOH,TP,CENTRAL REGION,CR,33EC42B8FE3B21D0,20191223152313,1057165.24420393,4254.53133335793,1.0643,0,0.0,23,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
804,5,CHIN BEE,JWSZ05,N,JURONG WEST,JW,WEST REGION,WR,E40040F5493ECE07,20191223152313,1287949.82451639,4899.03395739622,1.2966,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
805,5,LORONG 8 TOA PAYOH,TPSZ05,N,TOA PAYOH,TP,CENTRAL REGION,CR,4A20B4AB7C41B9D6,20191223152313,439646.76155801,3271.27119240912,0.4426,0,0.0,23,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
806,3,TOH GUAN,JESZ03,N,JURONG EAST,JE,WEST REGION,WR,0A84AFE11C5E0C53,20191223152313,746882.27413152,4462.31388562204,0.7519,0,0.0,56,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
807,4,SIMEI,TMSZ04,N,TAMPINES,TM,EAST REGION,ER,52A06FDE31AC9CBB,20191223152313,2777496.64669085,7415.52546030136,2.7962,0,0.0,96,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
808,2,BOON LAY PLACE,JWSZ02,N,JURONG WEST,JW,WEST REGION,WR,87E39292C52D96D3,20191223152313,906317.39067887,3708.3662809569,0.9124,0,0.0,95,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
809,8,BUKIT BATOK EAST,BKSZ08,N,BUKIT BATOK,BK,WEST REGION,WR,7CED8DCEA0FF3FC1,20191223152313,380201.802759345,2619.55237227329,0.3828,0,0.0,57,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
810,6,BUKIT BATOK WEST,BKSZ06,N,BUKIT BATOK,BK,WEST REGION,WR,2BC37BEE614885E1,20191223152313,527471.66606164,3423.01095793149,0.531,0,0.0,66,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
811,7,BUKIT BATOK CENTRAL,BKSZ07,N,BUKIT BATOK,BK,WEST REGION,WR,4CE31051AB87CA5E,20191223152313,800298.564475335,3782.82695880507,0.8057,0,0.0,106,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
812,7,UPPER PAYA LEBAR,SGSZ07,N,SERANGOON,SG,NORTH-EAST REGION,NER,9342743D10C6BFDB,20191223152313,898555.07640132,4659.01712461711,0.9046,0,0.0,37,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
